,Please select your age.,What is the highest level of education you have attained?,In which discipline is your highest academic qualification?,In which institute do you work?,Do you write code as part of your job?,Who uses the code that you write?,How many years of software development experience do you have?,What programming language do you use at work? Please select all that apply.,Please rate every answer on a scale from 1 to 10. The sum of all 4 answers must be 10.,"In an average month, how much time do you spend on software development?","In an average month, how much time do you spend on research?","In an average month, how much time do you spend on management?","In an average month, how much time do you spend on other activities?","In an average month, how much time would you like to spend on software development?","In an average month, how much time would you like to spend on research?","In an average month, how much time would you like to spend on management?","In an average month, how much time would you like to spend on other activities?",Which version control tools do you use for software development? Please select all that apply.,Are you documenting your software?,"What kind of documentation do you write? Please rate every answer with “never”, “sometimes”, or “regularly”.",Developer guide,Code comments,Guide for new contributors,User manual,Release notes,Installation notes,README,Are you testing your software?,"How do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Automated,semi-automated,manually,"When do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Before I publish results based on it,Before I give it to someone else,During development,Did you ever reference or acknowledge software in a publication?,How do you reference software in a publication? Please select all that apply.,Do you care for making your software citable?
17,25 - 34,Master degree,Computer Science,Institute Space 16,Yes,5 - Mostly other people,10.0,Python;#Rust;#Other,,7.0,1.0,1.0,1.0,8.0,1.0,,1.0,Git,Yes,,2.0,3.0,1.0,2.0,3.0,3.0,3.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,No,,No
18,45 - 54,Doctorate,Computer Science,Institute Transport 1,Yes,5 - Mostly other people,34.0,Python;#C++;#R;#Lisp,,5.0,0.0,3.0,2.0,7.0,3.0,0.0,0.0,Subversion;#Git,Yes,,2.0,3.0,1.0,3.0,3.0,3.0,3.0,Yes,,1.0,1.0,3.0,,1.0,2.0,3.0,Yes,Name;#Link,No
19,35 - 44,Doctorate,Mathematics,Institute Space 17,Yes,4,18.0,C;#Python;#C++;#Fortran,,6.0,3.0,1.0,,5.0,5.0,,,Git,Yes,,2.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link,No
20,25 - 34,Master degree,Computer Science,Institute Space 17,Yes,3,5.0,Java;#C;#Python;#C++,,3.0,2.0,5.0,,4.0,3.0,3.0,,Git,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,3.0,Yes,,3.0,3.0,1.0,,3.0,3.0,3.0,No,,No
21,25 - 34,Master degree,Computer Science,Institute Space 12,Yes,3,4.0,C;#C++;#SQL;#Other,,5.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,Yes,,3.0,3.0,3.0,,1.0,1.0,3.0,Yes,Name;#Link,No
22,55 or older,Doctorate,Mathematics,Institute Aeronautics 8,Yes,5 - Mostly other people,42.0,C,,8.0,0.0,0.0,2.0,7.0,1.0,0.0,2.0,CVS,Yes,,2.0,3.0,2.0,3.0,3.0,1.0,1.0,Yes,,,2.0,3.0,,,3.0,3.0,Yes,Name,No
23,25 - 34,Undergraduate degree,Computer Science,Institute Aeronautics 4,Yes,2,5.0,Java;#Python;#C#;#JavaScript,,3.0,2.0,4.0,1.0,5.0,3.0,1.0,1.0,Git,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,3.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,No,,No
24,35 - 44,Master degree,Communication & Media Studies,Institute Aeronautics 11,Yes,2,10.0,Python;#Other,,7.0,2.0,5.0,3.0,9.0,1.0,2.0,2.0,Subversion;#Git;#Other,Yes,,1.0,3.0,1.0,1.0,2.0,2.0,3.0,Yes,,2.0,2.0,2.0,,2.0,2.0,3.0,No,,No
25,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 5,Yes,1,4.0,Python,,3.0,3.0,2.0,2.0,5.0,5.0,0.0,0.0,Subversion,Yes,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,Yes,Name;#Link;#Other,Yes
26,25 - 34,Doctorate,Mathematics,Institute Space 1,Yes,1,20.0,Java;#Python;#JavaScript,,4.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,Yes,,3.0,1.0,1.0,,1.0,1.0,3.0,No,,Yes
27,25 - 34,Master degree,Other,Institute Transport 1,Yes,3,6.0,C;#Python;#C++;#JavaScript,,3.0,2.0,5.0,,4.0,5.0,1.0,,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,3.0,2.0,2.0,Yes,,1.0,2.0,3.0,,2.0,2.0,3.0,No,,Yes
28,35 - 44,Master degree,Electrical & Electronic Engineering,Institute Aeronautics 6,Yes,3,15.0,C;#C++,,4.0,3.0,2.0,1.0,5.0,4.0,,1.0,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,3.0,Yes,,3.0,2.0,2.0,,3.0,3.0,2.0,Yes,Name;#DOI,Yes
29,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
30,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 16,Yes,2,10.0,Python;#C++;#Fortran,,6.0,2.0,1.0,1.0,7.0,3.0,,,Git,Yes,,2.0,3.0,1.0,2.0,1.0,2.0,2.0,Yes,,3.0,1.0,3.0,,2.0,2.0,3.0,No,Name,No
31,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 5,Yes,1,9.0,Python;#Visual Basic,,5.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,Subversion,Yes,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,Yes,,2.0,2.0,2.0,,2.0,2.0,3.0,No,,No
32,35 - 44,Master degree,Mathematics,Institute Space 16,Yes,5 - Mostly other people,9.0,C#;#Other,,4.0,0.0,3.0,3.0,5.0,0.0,2.0,3.0,Git,Yes,,2.0,3.0,2.0,2.0,3.0,2.0,1.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name,No
33,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 3,Yes,1,4.0,C;#C++;#C#;#Fortran,,1.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,1.0,1.0,3.0,No,,No
34,55 or older,Doctorate,Physics,Institute Aeronautics 3,Yes,4,30.0,C;#Python;#C++,,5.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,2.0,3.0,2.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name,No
35,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 3,Yes,5 - Mostly other people,25.0,C;#Python,,7.0,3.0,0.0,0.0,4.0,6.0,0.0,0.0,Subversion,Yes,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,Yes,,2.0,2.0,2.0,,3.0,2.0,3.0,No,Name;#DOI,No
36,25 - 34,Undergraduate degree,Computer Science,Institute Aeronautics 3,Yes,5 - Mostly other people,5.0,C;#Python;#C++,,7.0,0.0,3.0,0.0,6.0,0.0,4.0,0.0,Subversion;#Git,Yes,,3.0,3.0,2.0,3.0,1.0,2.0,2.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,No,,No
37,35 - 44,Master degree,Computer Science,Institute Aeronautics 3,Yes,5 - Mostly other people,20.0,C;#Python;#C++,,3.0,3.0,1.0,1.0,4.0,5.0,0.0,1.0,Subversion;#Git,Yes,,2.0,3.0,1.0,3.0,2.0,2.0,2.0,Yes,,3.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name;#DOI;#Other,Yes
38,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 3,Yes,2,3.0,C;#Python;#C++;#MATLAB,,4.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,Subversion;#Git,Yes,,2.0,2.0,1.0,3.0,3.0,2.0,1.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name;#Other,No
39,35 - 44,Master degree,Mechanical Engineering,Institute Aeronautics 3,Yes,1,10.0,Python;#C++;#Fortran;#Other,,2.0,4.0,1.0,3.0,4.0,4.0,0.0,2.0,Subversion,Yes,,2.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,2.0,Yes,Name;#DOI,No
40,35 - 44,Doctorate,Mechanical Engineering,Institute Aeronautics 3,Yes,5 - Mostly other people,15.0,C;#Python;#C++;#MATLAB;#Fortran,,7.0,2.0,0.0,1.0,6.0,3.0,0.0,1.0,Subversion;#Git,Yes,,2.0,2.0,2.0,3.0,3.0,3.0,3.0,Yes,,3.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name;#Other,Yes
41,25 - 34,Master degree,Mathematics,Institute Aeronautics 3,Yes,3,15.0,C;#Python;#C++,,2.0,5.0,1.0,2.0,3.0,7.0,0.0,0.0,Subversion;#Git,Yes,,3.0,3.0,2.0,3.0,3.0,2.0,2.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
42,45 - 54,Doctorate,Chemical Engineering,Institute Aeronautics 1,Yes,5 - Mostly other people,26.0,C;#Fortran,,2.0,7.0,1.0,,0.0,10.0,0.0,,Subversion,Yes,,2.0,3.0,1.0,3.0,2.0,1.0,2.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name;#Other,No
43,45 - 54,Doctorate,Mechanical Engineering,Institute Aeronautics 1,Yes,2,23.0,C;#Python;#C++;#Visual Basic;#Fortran,,2.0,3.0,4.0,1.0,3.0,4.0,2.0,1.0,Subversion;#CVS,No,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,Yes,,1.0,2.0,3.0,,2.0,3.0,3.0,Yes,Name;#Other,No
44,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,0 - Mostly me,1.0,Python,,2.0,5.0,1.0,2.0,4.0,4.0,1.0,1.0,None,Yes,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,1.0,2.0,3.0,No,,No
45,35 - 44,Master degree,Mathematics,Institute Space 16,Yes,5 - Mostly other people,12.0,C#;#Other,,7.0,2.0,0.0,1.0,7.0,3.0,0.0,0.0,Git,Yes,,2.0,3.0,1.0,3.0,3.0,1.0,2.0,Yes,,3.0,1.0,2.0,,1.0,1.0,3.0,Yes,Name;#Link,Yes
46,45 - 54,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,3,20.0,C;#Python;#Fortran,,1.0,1.0,8.0,0.0,1.0,2.0,7.0,0.0,Subversion,Yes,,1.0,3.0,1.0,3.0,2.0,1.0,3.0,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,Yes,Name,No
47,55 or older,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,5 - Mostly other people,28.0,Fortran,,4.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,Subversion;#Other,Yes,,2.0,3.0,1.0,3.0,2.0,2.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
48,25 - 34,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,0 - Mostly me,8.0,Python;#Fortran,,2.0,3.0,1.0,4.0,2.0,4.0,2.0,2.0,Subversion;#None,Yes,,2.0,3.0,1.0,2.0,1.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name;#Other,No
49,35 - 44,Other,Other,Institute Aeronautics 1,Yes,0 - Mostly me,10.0,Other,,1.0,4.0,3.0,2.0,1.0,5.0,3.0,1.0,None,No,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,1.0,1.0,3.0,No,Name,No
50,35 - 44,Doctorate,Mechanical Engineering,Institute Aeronautics 1,Yes,2,25.0,C;#Python;#C++;#Fortran;#Other,,3.0,6.0,1.0,3.0,3.0,8.0,1.0,2.0,Git;#CVS,Yes,,1.0,3.0,1.0,1.0,2.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,Yes,Name,No
51,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,1,15.0,Python;#Visual Basic,,3.0,5.0,1.0,1.0,4.0,3.0,2.0,1.0,None,Yes,,2.0,3.0,1.0,2.0,2.0,1.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Other,No
52,35 - 44,Other,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,5 - Mostly other people,7.0,C;#Python;#C++;#Fortran,,8.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,Subversion;#Git,Yes,,2.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,3.0,3.0,1.0,,3.0,2.0,3.0,Yes,Name;#Link;#Other,No
53,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,1,3.0,Python;#Fortran,,6.0,6.0,1.0,4.0,3.0,8.0,0.0,3.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#DOI,No
54,35 - 44,Master degree,Mechanical Engineering,Institute Aeronautics 1,Yes,3,10.0,C;#Python;#C++;#Fortran,,3.0,2.0,0.0,5.0,4.0,4.0,,2.0,Subversion;#None,Yes,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,No,,No
55,25 - 34,Master degree,Civil Engineering,Institute Aeronautics 1,Yes,1,2.0,Python,,2.0,5.0,2.0,1.0,1.0,5.0,2.0,2.0,Other,No,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,2.0,2.0,,2.0,2.0,2.0,No,,No
56,45 - 54,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,4,20.0,C;#Python;#C++,,5.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,3.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
57,35 - 44,Doctorate,Physics,Institute Aeronautics 3,Yes,5 - Mostly other people,10.0,C;#Python;#C++,,4.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,Subversion;#Git,Yes,,2.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,3.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
58,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 3,Yes,5 - Mostly other people,20.0,C;#Python,,2.0,1.0,4.0,3.0,3.0,5.0,2.0,0.0,Subversion,Yes,,2.0,3.0,1.0,2.0,3.0,2.0,2.0,Yes,,3.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name,Yes
59,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 3,Yes,4,10.0,Python;#C++;#MATLAB;#Fortran,,6.0,2.0,1.0,1.0,4.0,4.0,0.0,2.0,Subversion,Yes,,3.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
60,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 12,Yes,2,9.0,Python;#C++,,2.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,Git,Yes,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,Yes,,1.0,2.0,3.0,,2.0,3.0,3.0,Yes,Name;#Link;#DOI,No
61,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,5 - Mostly other people,15.0,C;#Python;#C++;#Fortran,,5.0,2.0,3.0,,5.0,4.0,1.0,,Subversion;#Git,Yes,,,2.0,,2.0,,,2.0,Yes,,2.0,2.0,2.0,,2.0,3.0,2.0,Yes,Name;#Other,Yes
62,25 - 34,Master degree,Mathematics,Institute Aeronautics 5,Yes,2,4.0,Java;#C++;#MATLAB,,3.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,Subversion,Yes,,2.0,3.0,1.0,2.0,1.0,3.0,3.0,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,No,,Yes
63,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,1,1.0,Python,,5.0,4.0,0.0,1.0,4.0,5.0,0.0,1.0,Git,No,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,2.0,3.0,,2.0,2.0,2.0,Yes,Name;#DOI,No
64,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,4,10.0,C;#Python;#C++;#Fortran,,4.0,3.0,1.0,2.0,4.0,5.0,0.0,1.0,Subversion;#Git,Yes,,2.0,3.0,2.0,3.0,3.0,3.0,3.0,Yes,,,3.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link,No
65,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,2,2.0,Python,,2.0,4.0,2.0,2.0,3.0,6.0,1.0,1.0,Subversion;#Git,Yes,,1.0,3.0,1.0,3.0,2.0,2.0,2.0,Yes,,3.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#Other,Yes
66,25 - 34,Undergraduate degree,Computer Science,Institute Space 17,Yes,4,16.0,C;#Python;#MATLAB;#Assembly language;#Fortran;#Other,,6.0,1.0,1.0,2.0,5.0,3.0,0.0,2.0,Subversion;#Git,Yes,,2.0,3.0,1.0,2.0,2.0,3.0,3.0,Yes,,2.0,2.0,3.0,,2.0,2.0,3.0,Yes,Name;#Link;#Other,Yes
67,25 - 34,Master degree,Computer Science,Institute Space 12,Yes,4,11.0,C;#Python;#C++,,5.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,Git,Yes,,2.0,3.0,2.0,2.0,3.0,3.0,3.0,Yes,,3.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
68,25 - 34,Undergraduate degree,Physics,Institute Space 17,Yes,0 - Mostly me,4.0,C;#Python;#C++;#MATLAB,,6.0,9.0,1.0,3.0,9.0,9.0,3.0,1.0,Git,No,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,Yes,,1.0,1.0,3.0,,2.0,1.0,3.0,Yes,Name;#DOI,No
69,35 - 44,Master degree,Computer Science,Institute Space 1,Yes,0 - Mostly me,20.0,Python,,4.0,5.0,1.0,0.0,5.0,5.0,0.0,0.0,Git,Yes,,,3.0,,,,,,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#DOI,Yes
70,,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,2,,C;#Python;#C++,,4.0,3.0,1.0,2.0,3.0,4.0,2.0,1.0,Subversion;#Git,Yes,,1.0,3.0,2.0,2.0,2.0,2.0,1.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name;#Other,Yes
71,45 - 54,Master degree,Mechanical Engineering,Institute Aeronautics 1,Yes,2,19.0,C;#Python;#C++,,5.0,4.0,0.0,1.0,3.0,4.0,2.0,1.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,3.0,1.0,2.0,Yes,,3.0,1.0,3.0,,2.0,3.0,3.0,Yes,DOI,Yes
72,35 - 44,Doctorate,Mechanical Engineering,Institute Aeronautics 1,Yes,3,10.0,C;#Python,,3.0,3.0,2.0,2.0,4.0,4.0,0.0,2.0,Subversion,Yes,,1.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
73,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,5 - Mostly other people,2.0,C,,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,Subversion;#Git,Yes,,3.0,3.0,1.0,3.0,1.0,1.0,2.0,Yes,,3.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name,Yes
74,25 - 34,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,4,4.0,C;#Python;#C++;#Visual Basic .NET;#Fortran,,5.0,3.0,1.0,1.0,2.0,6.0,1.0,1.0,Subversion;#Git,Yes,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,2.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
